WMU,Animal,Tag Type,Season Start,Season End
322,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
322,Moose,Antlered and antlerless (General),Nov 1,Nov 30
332,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
332,Moose,Antlered and antlerless (General),Nov 1,Nov 30
334,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
334,Moose,Antlered and antlerless (General),Nov 1,Nov 30
336,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
336,Moose,Antlered and antlerless (General),Nov 1,Nov 30
337,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
337,Moose,Antlered and antlerless (General),Nov 1,Nov 30
347,Moose,Antlered (Archery),Aug 25,Sep 23
347,Moose,Antlered (General),Sep 24,Oct 31
347,Moose,Antlered (General),Nov 1,Nov 30
349,Moose,Antlered (Archery),Aug 25,Sep 23
349,Moose,Antlered (General),Sep 24,Oct 31
349,Moose,Antlered (General),Nov 1,Nov 30
350,Moose,Antlered (Archery),Aug 25,Sep 23
350,Moose,Antlered (General),Sep 24,Oct 31
350,Moose,Antlered (General),Nov 1,Nov 30
351,Moose,Antlered (Archery),Aug 25,Sep 23
351,Moose,Antlered (General),Sep 24,Oct 31
351,Moose,Antlered (General),Nov 1,Nov 30
352,Moose,Antlered (Archery),Aug 25,Sep 23
352,Moose,Antlered (General),Sep 24,Oct 31
352,Moose,Antlered (General),Nov 1,Nov 30
353,Moose,Antlered (Archery),Aug 25,Sep 23
353,Moose,Antlered (General),Sep 24,Oct 31
353,Moose,Antlered (General),Nov 1,Nov 30
354,Moose,Antlered (Archery),Aug 25,Sep 23
354,Moose,Antlered (General),Sep 24,Oct 31
354,Moose,Antlered (General),Nov 1,Nov 30
355,Moose,Antlered (Archery),Aug 25,Sep 23
355,Moose,Antlered (General),Sep 24,Oct 31
355,Moose,Antlered (General),Nov 1,Nov 30
356,Moose,Antlered (Archery),Aug 25,Sep 23
356,Moose,Antlered (General),Sep 24,Oct 31
356,Moose,Antlered (General),Nov 1,Nov 30
357,Moose,Antlered (Archery),Aug 25,Sep 23
357,Moose,Antlered (General),Sep 24,Oct 31
357,Moose,Antlered (General),Nov 1,Nov 30
358,Moose,Antlered (Archery),Aug 25,Sep 23
358,Moose,Antlered (General),Sep 24,Oct 31
358,Moose,Antlered (General),Nov 1,Nov 30
359,Moose,Antlered (Archery),Aug 25,Sep 23
359,Moose,Antlered (General),Sep 24,Oct 31
359,Moose,Antlered (General),Nov 1,Nov 30
360,Moose,Antlered (Archery),Aug 25,Sep 23
360,Moose,Antlered (General),Sep 24,Oct 31
360,Moose,Antlered (General),Nov 1,Nov 30
318,Moose,Antlered (Archery),Sep 1,Oct 31
318,Moose,Antlered (General),Nov 1,Nov 30
324,Moose,Antlered (Archery),Sep 1,Oct 31
324,Moose,Antlered (General),Nov 1,Nov 30
338,Moose,Antlered (Archery),Sep 1,Oct 31
338,Moose,Antlered (General),Nov 1,Nov 30
348,Moose,Antlered (Archery),Sep 1,Oct 31
348,Moose,Antlered (General),Nov 1,Nov 30
300,Moose,Antlered (Archery),Sep 1,Oct 24
300,Moose,Antlered (General),Oct 25,Nov 30
302,Moose,Antlered (Archery),Sep 1,Oct 24
302,Moose,Antlered (General),Oct 25,Nov 30
303,Moose,Antlered (Archery),Sep 1,Oct 24
303,Moose,Antlered (General),Oct 25,Nov 30
304,Moose,Antlered (Archery),Sep 1,Oct 24
304,Moose,Antlered (General),Oct 25,Nov 30
306,Moose,Antlered (Archery),Sep 1,Oct 24
306,Moose,Antlered (General),Oct 25,Nov 30
308,Moose,Antlered (Archery),Sep 1,Oct 24
308,Moose,Antlered (General),Oct 25,Nov 30
326,Moose,Antlered (Archery),Aug 25,Sep 23
326,Moose,Antlered (General),Sep 24,Oct 31
326,Moose,Antlered (General),Nov 1,Nov 30
328,Moose,Antlered (Archery),Aug 25,Sep 23
328,Moose,Antlered (General),Sep 24,Oct 31
328,Moose,Antlered (General),Nov 1,Nov 30
330,Moose,Antlered (Archery),Aug 25,Sep 23
330,Moose,Antlered (General),Sep 24,Oct 31
330,Moose,Antlered (General),Nov 1,Nov 30
339,Moose,Antlered (Archery),Aug 25,Sep 23
339,Moose,Antlered (General),Sep 24,Oct 31
339,Moose,Antlered (General),Nov 1,Nov 30
340,Moose,Antlered (Archery),Aug 25,Sep 23
340,Moose,Antlered (General),Sep 24,Oct 31
340,Moose,Antlered (General),Nov 1,Nov 30
342,Moose,Antlered (Archery),Aug 25,Sep 23
342,Moose,Antlered (General),Sep 24,Oct 31
342,Moose,Antlered (General),Nov 1,Nov 30
344,Moose,Antlered (Archery),Aug 25,Sep 23
344,Moose,Antlered (General),Sep 24,Oct 31
344,Moose,Antlered (General),Nov 1,Nov 30
346,Moose,Antlered (Archery),Aug 25,Sep 23
346,Moose,Antlered (General),Sep 24,Oct 31
346,Moose,Antlered (General),Nov 1,Nov 30
352,Moose,Antlerless (Archery),Aug 25,Sep 23
352,Moose,Antlerless (General),Sep 24,Nov 30
3531,Moose,Antlerless (Archery),Aug 25,Sep 23
3531,Moose,Antlerless (General),Sep 24,Nov 30
355,Moose,Antlerless (Archery),Aug 25,Sep 23
355,Moose,Antlerless (General),Sep 24,Nov 30
357,Moose,Antlerless (Archery),Aug 25,Sep 23
357,Moose,Antlerless (General),Nov 1,Nov 30
359,Moose,Antlerless (calf only) (Archery),Aug 25,Sep 23
359,Moose,Antlerless (calf only) (General),Nov 1,Nov 30
360,Moose,Antlerless (calf only) (Archery),Aug 25,Sep 23
360,Moose,Antlerless (calf only) (General),Nov 1,Nov 30
339,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
339,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
340,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
340,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
342,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
342,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
344,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
344,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
346,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
346,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
347,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
347,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
349,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
349,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
350,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
350,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
351,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
351,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
352,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
352,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
353,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
353,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
354,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
354,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
355,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
355,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
356,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
356,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
357,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
357,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
358,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
358,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
359,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
359,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
360,Elk,Antlered (3-point or larger)2 (Archery),Aug 25,Sep 16
360,Elk,Antlered (3-point or larger)2 (General),Sep 17,Nov 30
302,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
302,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
303,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
303,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
304,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
304,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
305,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
305,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
306,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
306,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
308,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
308,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
310,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
310,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
312,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
312,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
314,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 24
314,Elk,Antlered (3-point or larger)2 (General),Oct 25,Nov 30
316,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
316,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
318,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
318,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
320,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
320,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
322,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
322,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
324,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
324,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
326,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
326,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
328,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
328,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
330,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
330,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
332,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
332,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
334,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
334,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
336,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
336,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
337,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
337,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
338,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
338,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
348,Elk,Antlered (3-point or larger)2 (Archery),Sep 1,Oct 31
348,Elk,Antlered (3-point or larger)2 (General),Nov 1,Nov 30
300,Elk,Antlerless (General),Sep 9,Oct 24
300,Elk,Antlerless (General),Oct 25,Dec 24
300,Elk,Antlerless (General),Dec 25,"Jan 31, 2027"
300,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
340,Elk,Antlerless (Archery),Aug 25,Sep 16
340,Elk,Antlerless (General),Sep 17,Dec 20
342,Elk,Antlerless (Archery),Aug 25,Sep 16
342,Elk,Antlerless (General),Sep 17,Dec 20
3441,Elk,Antlerless (Archery),Aug 25,Sep 16
3441,Elk,Antlerless (General),Sep 17,Dec 20
330,Elk,Antlerless (Archery),Aug 25,Sep 16
330,Elk,Antlerless (General),Sep 17,Nov 30
352,Elk,Antlerless (Archery),Aug 25,Sep 16
352,Elk,Antlerless (General),Sep 17,Nov 30
302,Elk,Antlerless (Archery),Sep 1,Oct 24
302,Elk,Antlerless (General),Oct 25,Dec 20
302,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
302,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
304,Elk,Antlerless (Archery),Sep 1,Oct 24
304,Elk,Antlerless (General),Oct 25,Dec 20
304,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
304,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
305,Elk,Antlerless (Archery),Sep 1,Oct 24
305,Elk,Antlerless (General),Oct 25,Dec 20
305,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
305,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
306,Elk,Antlerless (Archery),Sep 1,Oct 24
306,Elk,Antlerless (General),Oct 25,Dec 20
306,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
306,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
308,Elk,Antlerless (Archery),Sep 1,Oct 24
308,Elk,Antlerless (General),Oct 25,Dec 20
308,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
308,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
310,Elk,Antlerless (Archery),Sep 1,Oct 24
310,Elk,Antlerless (General),Oct 25,Dec 20
310,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
310,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
303,Elk,Antlerless (Archery),Sep 1,Oct 24
303,Elk,Antlerless (General),Oct 25,Dec 31
303,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
312,Elk,Antlerless (Archery),Sep 1,Oct 24
312,Elk,Antlerless (General),Oct 25,Nov 20
312,Elk,Antlerless (General),Nov 21,Dec 31
312,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
312,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
314,Elk,Antlerless (Archery),Sep 1,Oct 24
314,Elk,Antlerless (General),Oct 25,Nov 20
314,Elk,Antlerless (General),Nov 21,Dec 31
314,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
314,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
318,Elk,Antlerless (Archery),Sep 1,Oct 31
318,Elk,Antlerless (General),Nov 1,Nov 25
318,Elk,Antlerless (General),Nov 26,Dec 20
332,Elk,Antlerless (Archery),Sep 1,Oct 31
332,Elk,Antlerless (General),Nov 1,Nov 25
332,Elk,Antlerless (General),Nov 26,Dec 20
324,Elk,Antlerless (Archery),Sep 1,Oct 31
324,Elk,Antlerless (General),Nov 1,Nov 25
324,Elk,Antlerless (General),Nov 26,Dec 31
324,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
324,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
334,Elk,Antlerless (Archery),Sep 1,Oct 31
334,Elk,Antlerless (General),Nov 1,Dec 20
336,Elk,Antlerless (Archery),Sep 1,Oct 31
336,Elk,Antlerless (General),Nov 1,Dec 20
346,Elk,Antlerless (Archery),Aug 25,Sep 16
346,Elk,Antlerless (General),Sep 17,Oct 31
346,Elk,Antlerless (General),Nov 1,Dec 20
346,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
357,Elk,Antlerless (Archery),Aug 25,Sep 16
357,Elk,Antlerless (General),Sep 17,Oct 31
357,Elk,Antlerless (General),Nov 1,Dec 20
357,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
357,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
358,Elk,Antlerless (Archery),Aug 25,Sep 16
358,Elk,Antlerless (General),Sep 17,Oct 31
358,Elk,Antlerless (General),Nov 1,Dec 20
358,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
358,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
359,Elk,Antlerless (Archery),Aug 25,Sep 16
359,Elk,Antlerless (General),Sep 17,Oct 31
359,Elk,Antlerless (General),Nov 1,Dec 20
359,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
359,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
360,Elk,Antlerless (Archery),Aug 25,Sep 16
360,Elk,Antlerless (General),Sep 17,Oct 31
360,Elk,Antlerless (General),Nov 1,Dec 20
360,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
360,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
320,Elk,Antlerless (Archery),Sep 1,Oct 31
320,Elk,Antlerless (General),Nov 1,Nov 25
320,Elk,Antlerless (General),Nov 26,Dec 31
320,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
320,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
322,Elk,Antlerless (Archery),Sep 1,Oct 31
322,Elk,Antlerless (General),Nov 1,Nov 25
322,Elk,Antlerless (General),Nov 26,Dec 31
322,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
322,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
337,Elk,Antlerless (General),Nov 1,Dec 20
337,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
338,Elk,Antlerless (General),Nov 1,Dec 20
338,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
348,Elk,Antlerless (General),Nov 1,Dec 20
348,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
353,Elk,Antlerless (Archery),Aug 25,Sep 16
353,Elk,Antlerless (General),Sep 17,Oct 31
353,Elk,Antlerless (General),Nov 1,Dec 20
354,Elk,Antlerless (Archery),Aug 25,Sep 16
354,Elk,Antlerless (General),Sep 17,Oct 31
354,Elk,Antlerless (General),Nov 1,Dec 20
355,Elk,Antlerless (Archery),Aug 25,Sep 16
355,Elk,Antlerless (General),Sep 17,Oct 31
355,Elk,Antlerless (General),Nov 1,Dec 20
356,Elk,Antlerless (Archery),Aug 25,Sep 16
356,Elk,Antlerless (General),Sep 17,Oct 31
356,Elk,Antlerless (General),Nov 1,Dec 20
3024,Class 1 sheep3,Resident (General),Sep 9,Oct 31
303,Class 1 sheep3,Resident (General),Sep 9,Oct 31
306,Class 1 sheep3,Resident (General),Sep 9,Oct 31
308,Class 1 sheep3,Resident (General),Sep 9,Oct 31
404,White-tailed deer,Antlered and antlerless (Archery),Sep 9,Sep 23
404,White-tailed deer,Antlered and antlerless (General),Sep 24,Nov 30
406,White-tailed deer,Antlered and antlerless (Archery),Sep 9,Sep 23
406,White-tailed deer,Antlered and antlerless (General),Sep 24,Nov 30
408,White-tailed deer,Antlered and antlerless (Archery),Sep 9,Sep 23
408,White-tailed deer,Antlered and antlerless (General),Sep 24,Nov 30
410,White-tailed deer,Antlered and antlerless (Archery),Sep 9,Nov 30
429,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
429,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
436,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
436,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
437,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
437,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
438,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
438,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
439,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
439,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
440,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
440,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
441,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
441,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
442,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
442,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
444,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
444,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
445,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
445,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
446,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
446,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
412,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
412,White-tailed deer,Antlered (General),Sep 17,Nov 30
414,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
414,White-tailed deer,Antlered (General),Sep 17,Nov 30
416,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
416,White-tailed deer,Antlered (General),Sep 17,Nov 30
417,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
417,White-tailed deer,Antlered (General),Sep 17,Nov 30
418,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
418,White-tailed deer,Antlered (General),Sep 17,Nov 30
420,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
420,White-tailed deer,Antlered (General),Sep 17,Nov 30
422,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
422,White-tailed deer,Antlered (General),Sep 17,Nov 30
426,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
426,White-tailed deer,Antlered (General),Sep 17,Nov 30
428,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
428,White-tailed deer,Antlered (General),Sep 17,Nov 30
430,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
430,White-tailed deer,Antlered (General),Sep 17,Nov 30
432,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
432,White-tailed deer,Antlered (General),Sep 17,Nov 30
434,White-tailed deer,Antlered (Archery),Aug 25,Sep 16
434,White-tailed deer,Antlered (General),Sep 17,Nov 30
400,White-tailed deer,Antlered (Archery),Sep 1,Sep 23
400,White-tailed deer,Antlered (General),Sep 24,Nov 30
402,White-tailed deer,Antlered (Archery),Sep 1,Sep 23
402,White-tailed deer,Antlered (General),Sep 24,Nov 30
412,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
412,White-tailed deer,Antlerless (General),Nov 1,Nov 30
414,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
414,White-tailed deer,Antlerless (General),Nov 1,Nov 30
416,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
416,White-tailed deer,Antlerless (General),Nov 1,Nov 30
417,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
417,White-tailed deer,Antlerless (General),Nov 1,Nov 30
418,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
418,White-tailed deer,Antlerless (General),Nov 1,Nov 30
420,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
420,White-tailed deer,Antlerless (General),Nov 1,Nov 30
422,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
422,White-tailed deer,Antlerless (General),Nov 1,Nov 30
426,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
426,White-tailed deer,Antlerless (General),Nov 1,Nov 30
428,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
428,White-tailed deer,Antlerless (General),Nov 1,Nov 30
430,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
430,White-tailed deer,Antlerless (General),Nov 1,Nov 30
432,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
432,White-tailed deer,Antlerless (General),Nov 1,Nov 30
434,White-tailed deer,Antlerless (Archery),Aug 25,Sep 16
434,White-tailed deer,Antlerless (General),Nov 1,Nov 30
400,White-tailed deer,Antlerless (Archery),Sep 1,Sep 23
400,White-tailed deer,Antlerless (General),Nov 1,Nov 15
402,White-tailed deer,Antlerless (Archery),Sep 1,Sep 23
402,White-tailed deer,Antlerless (General),Nov 1,Nov 15
404,Mule deer,Antlered and antlerless (Archery),Sep 9,Sep 23
404,Mule deer,Antlered and antlerless (General),Sep 24,Nov 30
406,Mule deer,Antlered and antlerless (Archery),Sep 9,Sep 23
406,Mule deer,Antlered and antlerless (General),Sep 24,Nov 30
408,Mule deer,Antlered and antlerless (Archery),Sep 9,Sep 23
408,Mule deer,Antlered and antlerless (General),Sep 24,Nov 30
410,Mule deer,Antlered and antlerless (Archery),Sep 9,Nov 30
440,Mule deer,Antlered (Archery),Aug 25,Sep 16
440,Mule deer,Antlered (General),Sep 17,Nov 30
441,Mule deer,Antlered (Archery),Aug 25,Sep 16
441,Mule deer,Antlered (General),Sep 17,Nov 30
442,Mule deer,Antlered (Archery),Aug 25,Sep 16
442,Mule deer,Antlered (General),Sep 17,Nov 30
444,Mule deer,Antlered (Archery),Aug 25,Sep 16
444,Mule deer,Antlered (General),Sep 17,Nov 30
445,Mule deer,Antlered (Archery),Aug 25,Sep 16
445,Mule deer,Antlered (General),Sep 17,Nov 30
446,Mule deer,Antlered (Archery),Aug 25,Sep 16
446,Mule deer,Antlered (General),Sep 17,Nov 30
412,Mule deer,Antlered (Archery),Aug 25,Sep 16
412,Mule deer,Antlered (General),Sep 17,Nov 30
414,Mule deer,Antlered (Archery),Aug 25,Sep 16
414,Mule deer,Antlered (General),Sep 17,Nov 30
416,Mule deer,Antlered (Archery),Aug 25,Sep 16
416,Mule deer,Antlered (General),Sep 17,Nov 30
417,Mule deer,Antlered (Archery),Aug 25,Sep 16
417,Mule deer,Antlered (General),Sep 17,Nov 30
418,Mule deer,Antlered (Archery),Aug 25,Sep 16
418,Mule deer,Antlered (General),Sep 17,Nov 30
420,Mule deer,Antlered (Archery),Aug 25,Sep 16
420,Mule deer,Antlered (General),Sep 17,Nov 30
422,Mule deer,Antlered (Archery),Aug 25,Sep 16
422,Mule deer,Antlered (General),Sep 17,Nov 30
426,Mule deer,Antlered (Archery),Aug 25,Sep 16
426,Mule deer,Antlered (General),Sep 17,Nov 30
428,Mule deer,Antlered (Archery),Aug 25,Sep 16
428,Mule deer,Antlered (General),Sep 17,Nov 30
429,Mule deer,Antlered (Archery),Aug 25,Sep 16
429,Mule deer,Antlered (General),Sep 17,Nov 30
430,Mule deer,Antlered (Archery),Aug 25,Sep 16
430,Mule deer,Antlered (General),Sep 17,Nov 30
432,Mule deer,Antlered (Archery),Aug 25,Sep 16
432,Mule deer,Antlered (General),Sep 17,Nov 30
434,Mule deer,Antlered (Archery),Aug 25,Sep 16
434,Mule deer,Antlered (General),Sep 17,Nov 30
436,Mule deer,Antlered (Archery),Aug 25,Sep 16
436,Mule deer,Antlered (General),Sep 17,Nov 30
437,Mule deer,Antlered (Archery),Aug 25,Sep 16
437,Mule deer,Antlered (General),Sep 17,Nov 30
438,Mule deer,Antlered (Archery),Aug 25,Sep 16
438,Mule deer,Antlered (General),Sep 17,Nov 30
439,Mule deer,Antlered (Archery),Aug 25,Sep 16
439,Mule deer,Antlered (General),Sep 17,Nov 30
400,Mule deer,Antlered (Archery),Sep 1,Sep 23
400,Mule deer,Antlered (General),Sep 24,Nov 30
402,Mule deer,Antlered (Archery),Sep 1,Sep 23
402,Mule deer,Antlered (General),Sep 24,Nov 30
400,Mule deer,Antlerless (Archery),Sep 1,Sep 23
400,Mule deer,Antlerless (General),Sep 24,Nov 30
402,Mule deer,Antlerless (Archery),Sep 1,Sep 23
402,Mule deer,Antlerless (General),Sep 24,Nov 30
404,Moose,Antlered and antlerless (Archery),Sep 9,Sep 23
404,Moose,Antlered and antlerless (General),Sep 24,Nov 30
406,Moose,Antlered and antlerless (Archery),Sep 9,Sep 23
406,Moose,Antlered and antlerless (General),Sep 24,Nov 30
410,Moose,Antlered and antlerless (Archery),Sep 9,Nov 30
412,Moose,Antlered (Archery),Aug 25,Sep 23
412,Moose,Antlered (General),Sep 24,Oct 31
414,Moose,Antlered (Archery),Aug 25,Sep 23
414,Moose,Antlered (General),Sep 24,Oct 31
416,Moose,Antlered (Archery),Aug 25,Sep 23
