WMU,Animal,Tag Type,Season Start,Season End
132,Elk,Antlerless (General),Nov 1,Nov 30
132,Elk,Antlerless (General),Dec 1,Dec 31
132,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
132,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
136,Elk,Antlerless (Archery),Sep 1,Oct 31
136,Elk,Antlerless (General),Nov 1,Nov 30
136,Elk,Antlerless (General),Dec 1,Dec 31
136,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
136,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
138,Elk,Antlerless (Archery),Sep 1,Oct 31
138,Elk,Antlerless (General),Nov 1,Nov 30
138,Elk,Antlerless (General),Dec 1,Dec 31
138,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
138,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
162,Elk,Antlerless (Archery),Sep 1,Oct 31
162,Elk,Antlerless (General),Nov 1,Nov 30
162,Elk,Antlerless (General),Dec 1,Dec 31
162,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
162,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
163,Elk,Antlerless (Archery),Sep 1,Oct 31
163,Elk,Antlerless (General),Nov 1,Nov 30
163,Elk,Antlerless (General),Dec 1,Dec 31
163,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
163,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
164,Elk,Antlerless (Archery),Sep 1,Oct 31
164,Elk,Antlerless (General),Nov 1,Nov 30
164,Elk,Antlerless (General),Dec 1,Dec 31
164,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
164,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
166,Elk,Antlerless (Archery),Sep 1,Oct 31
166,Elk,Antlerless (General),Nov 1,Nov 30
166,Elk,Antlerless (General),Dec 1,Dec 31
166,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
166,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
732,Elk,Antlered and antlerless (General),Nov 18,Nov 20
732,Elk,Antlered and antlerless (General),Nov 26,Nov 28
732,Elk,Antlered and antlerless (General),Jan 13,"Jan 15, 2027"
732,Elk,Antlered and antlerless (General),Jan 21,"Jan 23, 2027"
200,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
200,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
202,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
202,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
203,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
203,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
204,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
204,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
